Country,Year,Indicator,Value
Albania,1990,Population,3286542.0
Albania,2000,Population,3089027.0
Albania,2010,Population,2913021.0
Albania,2020,Population,2837849.0
Albania,1990,Life Expectancy,73.14
Albania,2000,Life Expectancy,75.4
Albania,2010,Life Expectancy,77.94
Albania,2020,Life Expectancy,76.99
Albania,1990,GDP,20285.54
Albania,2000,GDP,34803.55
Albania,2010,GDP,119269.27
Albania,2020,GDP,151627.34
Andorra,1990,Population,53569.0
Andorra,2000,Population,66097.0
Andorra,2010,Population,71519.0
Andorra,2020,Population,77700.0
Andorra,1990,Life Expectancy,
Andorra,2000,Life Expectancy,
Andorra,2010,Life Expectancy,
Andorra,2020,Life Expectancy,82.5
Andorra,1990,GDP,10289.9
Andorra,2000,GDP,14326.06
Andorra,2010,GDP,34499.26
Andorra,2020,GDP,28910.01
Armenia,1990,Population,3556539.0
Armenia,2000,Population,3168523.0
Armenia,2010,Population,2946293.0
Armenia,2020,Population,2805608.0
Armenia,1990,Life Expectancy,68.82
Armenia,2000,Life Expectancy,70.62
Armenia,2010,Life Expectancy,73.16
Armenia,2020,Life Expectancy,72.17
Armenia,1990,GDP,22568.63
Armenia,2000,GDP,19115.64
Armenia,2010,GDP,92602.86
Armenia,2020,GDP,126416.99
Austria,1990,Population,7677850.0
Austria,2000,Population,8011566.0
Austria,2010,Population,8363404.0
Austria,2020,Population,8916864.0
Austria,1990,Life Expectancy,75.57
Austria,2000,Life Expectancy,78.13
Austria,2010,Life Expectancy,80.58
Austria,2020,Life Expectancy,81.19
Austria,1990,GDP,1664633.86
Austria,2000,GDP,1972896.25
Austria,2010,GDP,3922751.07
Austria,2020,GDP,4350493.17
Azerbaijan,1990,Population,7175200.0
Azerbaijan,2000,Population,8048600.0
Azerbaijan,2010,Population,9054332.0
Azerbaijan,2020,Population,10093121.0
Azerbaijan,1990,Life Expectancy,62.35
Azerbaijan,2000,Life Expectancy,64.89
Azerbaijan,2010,Life Expectancy,69.53
Azerbaijan,2020,Life Expectancy,66.87
Azerbaijan,1990,GDP,88848.48
Azerbaijan,2000,GDP,52726.16
Azerbaijan,2010,GDP,529092.95
Azerbaijan,2020,GDP,426930.0
Belarus,1990,Population,10189348.0
Belarus,2000,Population,9979610.0
Belarus,2010,Population,9483836.0
Belarus,2020,Population,9379952.0
Belarus,1990,Life Expectancy,70.84
Belarus,2000,Life Expectancy,68.91
Belarus,2010,Life Expectancy,70.4
Belarus,2020,Life Expectancy,72.46
Belarus,1990,GDP,
Belarus,2000,GDP,127367.8
Belarus,2010,GDP,572319.05
Belarus,2020,GDP,613717.55
Belgium,1990,Population,9967379.0
Belgium,2000,Population,10251250.0
Belgium,2010,Population,10895586.0
Belgium,2020,Population,11538604.0
Belgium,1990,Life Expectancy,76.05
Belgium,2000,Life Expectancy,77.72
Belgium,2010,Life Expectancy,80.18
Belgium,2020,Life Expectancy,80.7
Belgium,1990,GDP,2053317.48
Belgium,2000,GDP,2367924.6
Belgium,2010,GDP,4814208.83
Belgium,2020,GDP,5260215.13
Bosnia and Herzegovina,1990,Population,4494310.0
Bosnia and Herzegovina,2000,Population,4179350.0
Bosnia and Herzegovina,2010,Population,3811088.0
Bosnia and Herzegovina,2020,Population,3318407.0
Bosnia and Herzegovina,1990,Life Expectancy,72.35
Bosnia and Herzegovina,2000,Life Expectancy,74.5
Bosnia and Herzegovina,2010,Life Expectancy,77.07
Bosnia and Herzegovina,2020,Life Expectancy,76.22
Bosnia and Herzegovina,1990,GDP,77534.78
Bosnia and Herzegovina,2000,GDP,55677.73
Bosnia and Herzegovina,2010,GDP,171763.16
Bosnia and Herzegovina,2020,GDP,202260.37
Bulgaria,1990,Population,8718289.0
Bulgaria,2000,Population,8170172.0
Bulgaria,2010,Population,7395599.0
Bulgaria,2020,Population,6934015.0
Bulgaria,1990,Life Expectancy,71.64
Bulgaria,2000,Life Expectancy,71.66
Bulgaria,2010,Life Expectancy,73.51
Bulgaria,2020,Life Expectancy,73.66
Bulgaria,1990,GDP,206320.91
Bulgaria,2000,GDP,132459.9
Bulgaria,2010,GDP,507609.29
Bulgaria,2020,GDP,703687.58
Croatia,1990,Population,4777368.0
Croatia,2000,Population,4468302.0
Croatia,2010,Population,4295427.0
Croatia,2020,Population,4047680.0
Croatia,1990,Life Expectancy,72.17
Croatia,2000,Life Expectancy,72.81
Croatia,2010,Life Expectancy,76.48
Croatia,2020,Life Expectancy,77.72
Croatia,1990,GDP,256502.13
Croatia,2000,GDP,221284.15
Croatia,2010,GDP,588364.06
Croatia,2020,GDP,582213.01
Cyprus,1990,Population,788500.0
Cyprus,2000,Population,948237.0
Cyprus,2010,Population,1129686.0
Cyprus,2020,Population,1237537.0
Cyprus,1990,Life Expectancy,73.54
Cyprus,2000,Life Expectancy,76.57
Cyprus,2010,Life Expectancy,79.67
Cyprus,2020,Life Expectancy,81.39
Cyprus,1990,GDP,55911.3
Cyprus,2000,GDP,99858.44
Cyprus,2010,GDP,257999.4
Cyprus,2020,GDP,252271.9
Czech Republic,1990,Population,10333355.0
Czech Republic,2000,Population,10255063.0
Czech Republic,2010,Population,10474410.0
Czech Republic,2020,Population,10697858.0
Czech Republic,1990,Life Expectancy,71.38
Czech Republic,2000,Life Expectancy,74.97
Czech Republic,2010,Life Expectancy,77.42
Czech Republic,2020,Life Expectancy,78.18
Czech Republic,1990,GDP,407289.51
Czech Republic,2000,GDP,618281.66
Czech Republic,2010,GDP,2090699.41
Czech Republic,2020,GDP,2459745.59
Denmark,1990,Population,5140939.0
Denmark,2000,Population,5339616.0
Denmark,2010,Population,5547683.0
Denmark,2020,Population,5831404.0
Denmark,1990,Life Expectancy,74.81
Denmark,2000,Life Expectancy,76.59
Denmark,2010,Life Expectancy,79.1
Denmark,2020,Life Expectancy,81.6
Denmark,1990,GDP,1382472.86
Denmark,2000,GDP,1641587.39
Denmark,2010,GDP,3219952.79
Denmark,2020,GDP,3547627.48
Estonia,1990,Population,1569174.0
Estonia,2000,Population,1396985.0
Estonia,2010,Population,1331475.0
Estonia,2020,Population,1329522.0
Estonia,1990,Life Expectancy,69.48
Estonia,2000,Life Expectancy,70.42
Estonia,2010,Life Expectancy,75.43
Estonia,2020,Life Expectancy,78.6
Estonia,1990,GDP,
Estonia,2000,GDP,56865.8
Estonia,2010,GDP,195234.77
Estonia,2020,GDP,313304.2
Finland,1990,Population,4986431.0
Finland,2000,Population,5176209.0
Finland,2010,Population,5363352.0
Finland,2020,Population,5529543.0
Finland,1990,Life Expectancy,74.81
Finland,2000,Life Expectancy,77.47
Finland,2010,Life Expectancy,79.87
Finland,2020,Life Expectancy,81.93
Finland,1990,GDP,1414383.46
Finland,2000,GDP,1260195.43
Finland,2010,GDP,2494243.11
Finland,2020,GDP,2718860.77
France,1990,Population,58044701.0
France,2000,Population,60921384.0
France,2010,Population,65030575.0
France,2020,Population,67571107.0
France,1990,Life Expectancy,76.6
France,2000,Life Expectancy,79.06
France,2010,Life Expectancy,81.66
France,2020,Life Expectancy,82.18
France,1990,GDP,12691796.17
France,2000,GDP,13656396.61
France,2010,GDP,26451878.82
France,2020,GDP,26474186.92
Georgia,1990,Population,4802000.0
Georgia,2000,Population,4077131.0
Georgia,2010,Population,3786695.0
Georgia,2020,Population,3722716.0
Georgia,1990,Life Expectancy,68.39
Georgia,2000,Life Expectancy,69.58
Georgia,2010,Life Expectancy,72.13
Georgia,2020,Life Expectancy,72.76
Georgia,1990,GDP,75000.0
Georgia,2000,GDP,30574.75
Georgia,2010,GDP,124269.08
Georgia,2020,GDP,160108.69
Germany,1990,Population,79433029.0
Germany,2000,Population,82211508.0
Germany,2010,Population,81776930.0
Germany,2020,Population,83160871.0
Germany,1990,Life Expectancy,75.09
Germany,2000,Life Expectancy,77.93
Germany,2010,Life Expectancy,79.99
Germany,2020,Life Expectancy,81.04
Germany,1990,GDP,17716712.07
Germany,2000,GDP,19479819.91
Germany,2010,GDP,33996678.2
Germany,2020,GDP,38877271.62
Greece,1990,Population,10196792.0
Greece,2000,Population,10805808.0
Greece,2010,Population,11121341.0
Greece,2020,Population,10698599.0
Greece,1990,Life Expectancy,76.94
Greece,2000,Life Expectancy,77.89
Greece,2010,Life Expectancy,80.39
Greece,2020,Life Expectancy,81.29
Greece,1990,GDP,978910.92
Greece,2000,GDP,1304577.57
Greece,2010,GDP,2971249.62
Greece,2020,GDP,1884803.37
Hungary,1990,Population,10373988.0
Hungary,2000,Population,10210971.0
