Country,Population 1990,Population 2000,Population 2010,Population 2020,Life Expectancy 1990,Life Expectancy 2000,Life Expectancy 2010,Life Expectancy 2020,GDP 1990,GDP 2000,GDP 2010,GDP 2020
Albania,3286542.0,3089027.0,2913021.0,2837849.0,73.144,75.404,77.936,76.989,20285.54,34803.55,119269.27,151627.34
Andorra,53569.0,66097.0,71519.0,77700.0,,,,82.5,10289.9,14326.06,34499.26,28910.01
Armenia,3556539.0,3168523.0,2946293.0,2805608.0,68.821,70.624,73.16,72.173,22568.63,19115.64,92602.86,126416.99
Austria,7677850.0,8011566.0,8363404.0,8916864.0,75.56829268292685,78.1268292682927,80.58048780487806,81.19268292682928,1664633.86,1972896.25,3922751.07,4350493.17
Azerbaijan,7175200.0,8048600.0,9054332.0,10093121.0,62.352,64.891,69.529,66.868,88848.48,52726.16,529092.95,426930.0
Belarus,10189348.0,9979610.0,9483836.0,9379952.0,70.83658536585365,68.91219512195123,70.40487804878049,72.45721951219514,,127367.8,572319.05,613717.55
Belgium,9967379.0,10251250.0,10895586.0,11538604.0,76.0519512195122,77.72195121951219,80.1829268292683,80.69512195121952,2053317.48,2367924.6,4814208.83,5260215.13
Bosnia and Herzegovina,4494310.0,4179350.0,3811088.0,3318407.0,72.349,74.496,77.073,76.225,77534.78,55677.73,171763.16,202260.37
Bulgaria,8718289.0,8170172.0,7395599.0,6934015.0,71.64146341463416,71.66341463414635,73.51219512195122,73.65853658536587,206320.91,132459.9,507609.29,703687.58
Croatia,4777368.0,4468302.0,4295427.0,4047680.0,72.17048780487805,72.8078048780488,76.47560975609755,77.72439024390245,256502.13,221284.15,588364.06,582213.01
Cyprus,788500.0,948237.0,1129686.0,1237537.0,73.539,76.568,79.665,81.391,55911.3,99858.44,257999.4,252271.9
Czech Republic,10333355.0,10255063.0,10474410.0,10697858.0,71.38390243902441,74.96829268292684,77.42439024390245,78.17560975609756,407289.51,618281.66,2090699.41,2459745.59
Denmark,5140939.0,5339616.0,5547683.0,5831404.0,74.80536585365854,76.59268292682927,79.1,81.60243902439025,1382472.86,1641587.39,3219952.79,3547627.48
Estonia,1569174.0,1396985.0,1331475.0,1329522.0,69.47560975609757,70.41707317073173,75.42926829268293,78.59512195121953,,56865.8,195234.77,313304.2
Finland,4986431.0,5176209.0,5363352.0,5529543.0,74.81317073170732,77.4658536585366,79.87073170731709,81.93170731707318,1414383.46,1260195.43,2494243.11,2718860.77
France,58044701.0,60921384.0,65030575.0,67571107.0,76.6,79.05609756097562,81.66341463414635,82.17560975609757,12691796.17,13656396.61,26451878.82,26474186.92
Georgia,4802000.0,4077131.0,3786695.0,3722716.0,68.389,69.575,72.128,72.765,75000.0,30574.75,124269.08,160108.69
Germany,79433029.0,82211508.0,81776930.0,83160871.0,75.08563414634146,77.92682926829269,79.98780487804879,81.04146341463415,17716712.07,19479819.91,33996678.2,38877271.62
Greece,10196792.0,10805808.0,11121341.0,10698599.0,76.93902439024392,77.8878048780488,80.3878048780488,81.28780487804877,978910.92,1304577.57,2971249.62,1884803.37
