Rank,Company,Sector,Industry,Location,Employees,Revenue,Profits,Change in Rank
1,Walmart,Retailing,General Merchandisers,"Bentonville, AR",2100000,648125.0,15511.0,0.0
2,Amazon,Retailing,Internet Services and Retailing,"Seattle, WA",1525000,574785.0,30425.0,0.0
3,Apple,Technology,"Computers, Office Equipment","Cupertino, CA",161000,383285.0,96995.0,1.0
4,UnitedHealth Group,Health Care,Health Care: Insurance and Managed Care,"Minnetonka, MN",440000,371622.0,22381.0,1.0
5,Berkshire Hathaway,Financials,Insurance: Property and Casualty (Stock),"Omaha, NE",396500,364482.0,96223.0,2.0
6,CVS Health,Health Care,Health Care: Pharmacy and Other Services,"Woonsocket, RI",259500,357776.0,8344.0,0.0
7,Exxon Mobil,Energy,Petroleum Refining,"Spring, TX",61500,344582.0,36010.0,-4.0
8,Alphabet,Technology,Internet Services and Retailing,"Mountain View, CA",182502,307394.0,73795.0,0.0
9,McKesson,Health Care,Wholesalers: Health Care,"Irving, TX",48000,276711.0,3560.0,0.0
10,Cencora,Health Care,Wholesalers: Health Care,"Conshohocken, PA",44000,262173.4,1745.3,1.0
11,Costco Wholesale,Retailing,General Merchandisers,"Issaquah, WA",316000,242290.0,6292.0,1.0
12,JPMorgan Chase,Financials,Commercial Banks,"New York, NY",309926,239425.0,49552.0,11.0
13,Microsoft,Technology,Computer Software,"Redmond, WA",221000,211915.0,72361.0,0.0
14,Cardinal Health,Health Care,Wholesalers: Health Care,"Dublin, OH",47520,205012.0,261.0,0.0
15,Chevron,Energy,Petroleum Refining,"San Ramon, CA",45600,200949.0,21369.0,-5.0
16,Cigna,Health Care,Health Care: Pharmacy and Other Services,"Bloomfield, CT",71413,195265.0,5164.0,-1.0
17,Ford Motor,Motor Vehicles & Parts,Motor Vehicles & Parts,"Dearborn, MI",177000,176191.0,4347.0,2.0
18,Bank of America,Financials,Commercial Banks,"Charlotte, NC",212985,171912.0,26515.0,14.0
19,General Motors,Motor Vehicles & Parts,Motor Vehicles & Parts,"Detroit, MI",163000,171842.0,10127.0,2.0
20,Elevance Health,Health Care,Health Care: Insurance and Managed Care,"Indianapolis, IN",104900,171340.0,5987.0,2.0
21,Citigroup,Financials,Commercial Banks,"New York, NY",237925,156820.0,9228.0,15.0
22,Centene,Health Care,Health Care: Insurance and Managed Care,"St. Louis, MO",67700,153999.0,2702.0,3.0
23,Home Depot,Retailing,Specialty Retailers: Other,"Atlanta, GA",463100,152669.0,15143.0,-3.0
24,Marathon Petroleum,Energy,Petroleum Refining,"Findlay, OH",18200,150307.0,9681.0,-8.0
25,Kroger,Food & Drug Stores,Food & Drug Stores,"Cincinnati, OH",414000,150039.0,2164.0,-1.0
26,Phillips 66,Energy,Petroleum Refining,"Houston, TX",14000,149890.0,7015.0,-9.0
27,Fannie Mae,Financials,Diversified Financials,"Washington, Unknown",8100,141240.0,17408.0,1.0
28,Walgreens Boots Alliance,Food & Drug Stores,Food & Drug Stores,"Deerfield, IL",268500,139081.0,-3080.0,-1.0
29,Valero Energy,Energy,Petroleum Refining,"San Antonio, TX",9897,139001.0,8835.0,-11.0
30,Meta Platforms,Technology,Internet Services and Retailing,"Menlo Park, CA",67317,134902.0,39098.0,1.0
31,Verizon Communications,Telecommunications,Telecommunications,"New York, NY",105400,133974.0,11614.0,-5.0
32,AT&T,Telecommunications,Telecommunications,"Dallas, TX",150470,122428.0,14400.0,-2.0
33,Comcast,Telecommunications,Telecommunications,"Philadelphia, PA",186000,121572.0,15388.0,-4.0
34,Wells Fargo,Financials,Commercial Banks,"San Francisco, CA",226000,115340.0,19142.0,13.0
35,Goldman Sachs Group,Financials,Commercial Banks,"New York, NY",45300,108418.0,8516.0,20.0
36,Freddie Mac,Financials,Diversified Financials,"McLean, VA",8020,108050.0,10538.0,9.0
37,Target,Retailing,General Merchandisers,"Minneapolis, MN",415000,107412.0,4138.0,-4.0
38,Humana,Health Care,Health Care: Insurance and Managed Care,"Louisville, KY",67600,106374.0,2489.0,4.0
39,State Farm Insurance,Financials,Insurance: Property and Casualty (Mutual),"Bloomington, IL",65054,104198.6,-6272.3,5.0
40,Tesla,Motor Vehicles & Parts,Motor Vehicles & Parts,"Austin, TX",140473,96773.0,14997.0,10.0
41,Morgan Stanley,Financials,Commercial Banks,"New York, NY",80006,96194.0,9087.0,20.0
42,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, NJ",131900,95195.0,35153.0,-2.0
43,Archer Daniels Midland,"Food, Beverages & Tobacco",Food Production,"Chicago, IL",41008,93935.0,3483.0,-8.0
44,PepsiCo,"Food, Beverages & Tobacco",Food Consumer Products,"Purchase, NY",318000,91471.0,9074.0,2.0
45,United Parcel Service,Transportation,"Mail, Package, and Freight Delivery","Atlanta, GA",382550,90958.0,6708.0,-8.0
46,FedEx,Transportation,"Mail, Package, and Freight Delivery","Memphis, TN",446400,90155.0,3972.0,-5.0
47,Walt Disney,Media,Entertainment,"Burbank, CA",199125,88898.0,2354.0,1.0
48,Dell Technologies,Technology,"Computers, Office Equipment","Round Rock, TX",120000,88425.0,3211.0,-14.0
49,Lowe's,Retailing,Specialty Retailers: Other,"Mooresville, NC",226000,86377.0,7726.0,-10.0
50,Procter & Gamble,Household Products,Household and Personal Products,"Cincinnati, OH",107000,82006.0,14653.0,1.0
51,Energy Transfer,Energy,Pipelines,"Dallas, TX",13786,78586.0,3935.0,-8.0
52,Boeing,Aerospace & Defense,Aerospace & Defense,"Arlington, VA",171000,77794.0,-2222.0,6.0
53,Albertsons,Food & Drug Stores,Food & Drug Stores,"Boise, ID",198650,77649.7,1513.5,0.0
54,Sysco,Wholesalers,Wholesalers: Food and Grocery,"Houston, TX",71750,76324.7,1770.1,2.0
55,RTX,Aerospace & Defense,Aerospace & Defense,"Arlington, VA",185000,68920.0,3195.0,2.0
56,General Electric,Industrials,Industrial Machinery,"Boston, MA",125000,67954.0,9481.0,-4.0
57,Lockheed Martin,Aerospace & Defense,Aerospace & Defense,"Bethesda, MD",122000,67571.0,6920.0,3.0
58,American Express,Financials,Diversified Financials,"New York, NY",74600,67364.0,8374.0,19.0
59,Caterpillar,Industrials,Construction and Farm Machinery,"Irving, TX",113200,67060.0,10335.0,9.0
60,MetLife,Financials,"Insurance: Life, Health (stock)","New York, NY",45000,66905.0,1578.0,-6.0
61,HCA Healthcare,Health Care,Health Care: Medical Facilities,"Nashville, TN",265000,64968.0,5242.0,5.0
62,Progressive,Financials,Insurance: Property and Casualty (Stock),"Mayfield Village, OH",61432,62108.5,3902.4,26.0
63,IBM,Technology,Information Technology Services,"Armonk, NY",296600,61860.0,7502.0,2.0
64,Deere,Industrials,Construction and Farm Machinery,"Moline, IL",82956,61251.0,10166.0,17.0
65,Nvidia,Technology,Semiconductors and Other Electronic Components,"Santa Clara, CA",29600,60922.0,29760.0,87.0
66,StoneX Group,Financials,Diversified Financials,"New York, NY",4137,60856.1,238.5,-7.0
67,Merck,Health Care,Pharmaceuticals,"Rahway, NJ",71000,60115.0,365.0,2.0
68,ConocoPhillips,Energy,"Mining, Crude-Oil Production","Houston, TX",9900,58574.0,10957.0,-19.0
69,Pfizer,Health Care,Pharmaceuticals,"New York, NY",88000,58496.0,2119.0,-31.0
70,Delta Air Lines,Transportation,Airlines,"Atlanta, GA",103000,58048.0,4609.0,15.0
71,TD Synnex,Wholesalers,Wholesalers: Electronics and Office Equipment,"Fremont, CA",28000,57555.4,626.9,-7.0
72,Publix Super Markets,Food & Drug Stores,Food & Drug Stores,"Lakeland, FL",253000,57534.0,4349.0,6.0
73,Allstate,Financials,Insurance: Property and Casualty (Stock),"Northbrook, IL",53200,57094.0,-188.0,11.0
74,Cisco Systems,Technology,Network and Other Communications Equipment,"San Jose, CA",84900,56998.0,12613.0,8.0
75,Nationwide,Financials,Insurance: Property and Casualty (Mutual),"Columbus, OH",24118,54609.4,-45.2,8.0
76,Charter Communications,Telecommunications,Telecommunications,"Stamford, CT",101100,54607.0,4557.0,3.0
77,AbbVie,Health Care,Pharmaceuticals,"North Chicago, IL",50000,54318.0,4863.0,-4.0
78,New York Life Insurance,Financials,"Insurance: Life, Health (Mutual)","New York, NY",15384,54317.2,804.6,-7.0
79,Intel,Technology,Semiconductors and Other Electronic Components,"Santa Clara, CA",124800,54228.0,1689.0,-17.0
80,TJX,Retailing,Specialty Retailers: Apparel,"Framingham, MA",349000,54217.0,4474.0,7.0
81,Prudential Financial,Financials,"Insurance: Life, Health (stock)","Newark, NJ",40366,53979.0,2488.0,-14.0
82,HP,Technology,"Computers, Office Equipment","Palo Alto, CA",58000,53718.0,3263.0,-19.0
83,United Airlines Holdings,Transportation,Airlines,"Chicago, IL",103300,53717.0,2618.0,13.0
84,Performance Food Group,Wholesalers,Wholesalers: Food and Grocery,"Richmond, VA",34825,53354.7,397.2,7.0
85,Tyson Foods,"Food, Beverages & Tobacco",Food Production,"Springdale, AR",139000,52881.0,-648.0,-5.0
86,American Airlines Group,Transportation,Airlines,"Fort Worth, TX",132100,52788.0,822.0,3.0
87,Liberty Mutual Insurance Group,Financials,Insurance: Property and Casualty (Stock),"Boston, MA",45000,52612.0,213.0,-1.0
88,Nike,Apparel,Apparel,"Beaverton, OR",83700,51217.0,5070.0,5.0
89,Oracle,Technology,Computer Software,"Austin, TX",164000,49954.0,8503.0,12.0
90,Enterprise Products Partners,Energy,Pipelines,"Houston, TX",7500,49715.0,5532.0,-18.0
91,Capital One Financial,Financials,Commercial Banks,"McLean, VA",51987,49484.0,4887.0,15.0
92,Plains GP Holdings,Energy,Pipelines,"Houston, TX",4200,48712.0,198.0,-18.0
93,World Kinect,Energy,Energy,"Miami, FL",5289,47710.6,52.9,-23.0
94,AIG,Financials,Insurance: Property and Casualty (Stock),"New York, NY",25200,46802.0,3643.0,-18.0
95,Coca-Cola,"Food, Beverages & Tobacco",Beverages,"Atlanta, GA",79100,45754.0,10714.0,5.0
96,TIAA,Financials,"Insurance: Life, Health (Mutual)","New York, NY",16023,45734.8,-1408.9,7.0
97,CHS,"Food, Beverages & Tobacco",Food Production,"Inver Grove Heights, MN",10609,45590.0,1900.4,-7.0
98,Bristol-Myers Squibb,Health Care,Pharmaceuticals,"Princeton, NJ",34100,45006.0,8025.0,-3.0
99,Dow,Chemicals,Chemicals,"Midland, MI",35900,44622.0,589.0,-24.0
100,Best Buy,Retailing,Specialty Retailers: Other,"Richfield, MN",85000,43452.0,1241.0,-6.0
101,Thermo Fisher Scientific,Technology,"Scientific,Photographic and  Control Equipment","Waltham, MA",122000,42857.0,5995.0,-4.0
102,Massachusetts Mutual Life Insurance,Financials,"Insurance: Life, Health (Mutual)","Springfield, MA",11323,42641.4,-771.6,2.0
