"Film","Year","Actor","Director","Shooting Locations","Box Office","Budget","Bond Actor Salary","IMDb Score"
"Dr. No","1962","Sean Connery","Terence Young","England, Jamaica","448.8","7","0.6","7.2"
"From Russia with Love","1963","Sean Connery","Terence Young","England, Scotland, Italy, Switzerland, Turkey","543.8","12.6","1.6","7.3"
"Goldfinger","1964","Sean Connery","Guy Hamilton","England, Switzerland, United States","820.4","18.6","3.2","7.7"
"Thunderball","1965","Sean Connery","Terence Young","England, France, Bahamas, United States","848.1","41.9","4.7","6.9"
"Casino Royale","1967","David Niven","Ken Hughes","England, Ireland","260","70","NA","5.0"
"You Only Live Twice","1967","Sean Connery","Lewis Gilbert","Japan, Spain, Norway","514.2","59.9","4.4","6.8"
"On Her Majesty's Secret Service","1969","George Lazenby","Peter R. Hunt","England, Switzerland, Portugal","291.5","37.3","0.6","6.7"
"Diamonds Are Forever","1971","Sean Connery","Guy Hamilton","England, France, Germany, Netherlands, United States","442.5","34.7","5.8","6.5"
"Live and Let Die","1973","Roger Moore","Guy Hamilton","England, United States, Jamaica","460.3","30.8","NA","6.7"
"The Man with the Golden Gun","1974","Roger Moore","Guy Hamilton","England, Thailand, Hong Kong, Portugal","334","27.7","NA","6.7"
"The Spy Who Loved Me","1977","Roger Moore","Lewis Gilbert","England, Switzerland, Canada, Scotland, Egypt, Italy, Malta, Bahamas, Japan","533","45.1","NA","7.0"
"Moonraker","1979","Roger Moore","Lewis Gilbert","England, France, Italy, United States, Brazil, Guatemala","535","91.5","NA","6.2"
"For Your Eyes Only","1981","Roger Moore","John Glen","England, Italy, Malta, Greece","449.4","60.2","NA","6.7"
"Never Say Never Again","1983","Sean Connery","Irvin Kershner","England, France, Bahamas","314","86","NA","6.1"
"Octopussy","1983","Roger Moore","John Glen","England, West Berlin, India","373.8","53.9","7.8","6.5"
"A View to a Kill","1985","Roger Moore","John Glen","England, Switzerland, Iceland, France, United States","275.2","54.5","9.1","6.3"
"The Living Daylights","1987","Timothy Dalton","John Glen","England, Germany, Austria, Italy, Morocco","313.5","68.8","5.2","6.7"
"Licence to Kill","1989","Timothy Dalton","John Glen","Mexico, United States","250.9","56.7","7.9","6.6"
"GoldenEye","1995","Pierce Brosnan","Martin Campbell","England, France, Monaco, Switzerland, Russia, Puerto Rico","518.5","76.9","5.1","7.2"
"Tomorrow Never Dies","1997","Pierce Brosnan","Roger Spottiswoode","England, France, Germany, Thailand","463.2","133.9","10","6.5"
"The World Is Not Enough","1999","Pierce Brosnan","Michael Apted","England, Scotland, France, Spain, Turkey, Azerbaijan","439.5","158.3","13.5","6.4"
"Die Another Day","2002","Pierce Brosnan","Lee Tamahori","England, Spain, Iceland, Norway, United States","465.4","154.2","17.9","6.1"
"Casino Royale","2006","Daniel Craig","Martin Campbell","England, Italy, Czech Republic, Bahamas, United States","589.4","145.3","3.3","8.0"
"Quantum of Solace","2008","Daniel Craig","Marc Forster","England, Italy, Spain, Panama, Mexico, Chile, Austria","514.2","181.4","8.1","6.6"
"Skyfall","2012","Daniel Craig","Sam Mendes","England, Scotland, Turkey, China","943.5","170.2","14.5","7.8"
"Spectre","2015","Daniel Craig","Sam Mendes","England, Austria, Italy, Vatican City, Mexico, Morocco","725.5","206.3","NA","6.8"
"No Time to Die","2021","Daniel Craig","Cary Joji Fukunaga","England, Scotland, Faroe Islands, Jamaica","396.8","226.4","NA","7.3"
