Date,Home Team,Away Team,HT Goals,AT Goals,HT Points,AT Points
11/08/2023,Almeria,Vallecano,0,2,0,3
11/08/2023,Sevilla,Valencia,1,2,0,3
12/08/2023,Real Sociedad,Girona,1,1,1,1
12/08/2023,Las Palmas,Mallorca,1,1,1,1
12/08/2023,Ath. Bilbao,Real Madrid,0,2,0,3
13/08/2023,Celta,Osasuna,0,2,0,3
13/08/2023,Villarreal,Betis,1,2,0,3
13/08/2023,Getafe,Barcelona,0,0,1,1
14/08/2023,Cadiz,Alaves,1,0,3,0
14/08/2023,Atl. Madrid,Granada,3,1,3,0
18/08/2023,Mallorca,Villarreal,0,1,0,3
18/08/2023,Valencia,Las Palmas,1,0,3,0
19/08/2023,Real Sociedad,Celta,1,1,1,1
19/08/2023,Almeria,Real Madrid,1,3,0,3
19/08/2023,Osasuna,Ath. Bilbao,0,2,0,3
20/08/2023,Girona,Getafe,3,0,3,0
20/08/2023,Barcelona,Cadiz,2,0,3,0
20/08/2023,Betis,Atl. Madrid,0,0,1,1
21/08/2023,Alaves,Sevilla,4,3,3,0
21/08/2023,Granada,Vallecano,0,2,0,3
25/08/2023,Las Palmas,Real Sociedad,0,0,1,1
25/08/2023,Celta,Real Madrid,0,1,0,3
26/08/2023,Cadiz,Almeria,1,1,1,1
26/08/2023,Granada,Mallorca,3,2,3,0
26/08/2023,Sevilla,Girona,1,2,0,3
27/08/2023,Villarreal,Barcelona,3,4,0,3
27/08/2023,Valencia,Osasuna,1,2,0,3
27/08/2023,Ath. Bilbao,Betis,4,2,3,0
28/08/2023,Getafe,Alaves,1,0,3,0
28/08/2023,Vallecano,Atl. Madrid,0,7,0,3
01/09/2023,Cadiz,Villarreal,3,1,3,0
01/09/2023,Almeria,Celta,2,3,0,3
02/09/2023,Real Sociedad,Granada,5,3,3,0
02/09/2023,Real Madrid,Getafe,2,1,3,0
02/09/2023,Alaves,Valencia,1,0,3,0
02/09/2023,Betis,Vallecano,1,0,3,0
03/09/2023,Girona,Las Palmas,1,0,3,0
03/09/2023,Mallorca,Ath. Bilbao,0,0,1,1
03/09/2023,Osasuna,Barcelona,1,2,0,3
15/09/2023,Vallecano,Alaves,2,0,3,0
16/09/2023,Ath. Bilbao,Cadiz,3,0,3,0
16/09/2023,Valencia,Atl. Madrid,3,0,3,0
16/09/2023,Celta,Mallorca,0,1,0,3
16/09/2023,Barcelona,Betis,5,0,3,0
17/09/2023,Getafe,Osasuna,3,2,3,0
17/09/2023,Villarreal,Almeria,2,1,3,0
17/09/2023,Sevilla,Las Palmas,1,0,3,0
17/09/2023,Real Madrid,Real Sociedad,2,1,3,0
18/09/2023,Granada,Girona,2,4,0,3
22/09/2023,Alaves,Ath. Bilbao,0,2,0,3
23/09/2023,Girona,Mallorca,5,3,3,0
23/09/2023,Osasuna,Sevilla,0,0,1,1
23/09/2023,Barcelona,Celta,3,2,3,0
23/09/2023,Almeria,Valencia,2,2,1,1
24/09/2023,Real Sociedad,Getafe,4,3,3,0
24/09/2023,Vallecano,Villarreal,1,1,1,1
24/09/2023,Betis,Cadiz,1,1,1,1
24/09/2023,Las Palmas,Granada,1,0,3,0
24/09/2023,Atl. Madrid,Real Madrid,3,1,3,0
26/09/2023,Sevilla,Almeria,5,1,3,0
26/09/2023,Mallorca,Barcelona,2,2,1,1
27/09/2023,Ath. Bilbao,Getafe,2,2,1,1
27/09/2023,Real Madrid,Las Palmas,2,0,3,0
27/09/2023,Villarreal,Girona,1,2,0,3
27/09/2023,Cadiz,Vallecano,0,0,1,1
27/09/2023,Valencia,Real Sociedad,0,1,0,3
28/09/2023,Celta,Alaves,1,1,1,1
28/09/2023,Granada,Betis,1,1,1,1
28/09/2023,Osasuna,Atl. Madrid,0,2,0,3
29/09/2023,Barcelona,Sevilla,1,0,3,0
30/09/2023,Getafe,Villarreal,0,0,1,1
30/09/2023,Vallecano,Mallorca,2,2,1,1
30/09/2023,Girona,Real Madrid,0,3,0,3
30/09/2023,Real Sociedad,Ath. Bilbao,3,0,3,0
01/10/2023,Almeria,Granada,3,3,1,1
01/10/2023,Alaves,Osasuna,0,2,0,3
01/10/2023,Atl. Madrid,Cadiz,3,2,3,0
01/10/2023,Betis,Valencia,3,0,3,0
02/10/2023,Las Palmas,Celta,2,1,3,0
06/10/2023,Ath. Bilbao,Almeria,3,0,3,0
07/10/2023,Cadiz,Girona,0,1,0,3
07/10/2023,Real Madrid,Osasuna,4,0,3,0
07/10/2023,Mallorca,Valencia,1,1,1,1
07/10/2023,Sevilla,Vallecano,2,2,1,1
08/10/2023,Villarreal,Las Palmas,1,2,0,3
08/10/2023,Atl. Madrid,Real Sociedad,2,1,3,0
08/10/2023,Alaves,Betis,1,1,1,1
08/10/2023,Celta,Getafe,2,2,1,1
08/10/2023,Granada,Barcelona,2,2,1,1
20/10/2023,Osasuna,Granada,2,0,3,0
21/10/2023,Real Sociedad,Mallorca,1,0,3,0
21/10/2023,Getafe,Betis,1,1,1,1
21/10/2023,Sevilla,Real Madrid,1,1,1,1
21/10/2023,Celta,Atl. Madrid,0,3,0,3
22/10/2023,Las Palmas,Vallecano,0,1,0,3
22/10/2023,Girona,Almeria,5,2,3,0
22/10/2023,Villarreal,Alaves,1,1,1,1
22/10/2023,Barcelona,Ath. Bilbao,1,0,3,0
23/10/2023,Valencia,Cadiz,2,0,3,0
27/10/2023,Girona,Celta,1,0,3,0
28/10/2023,Almeria,Las Palmas,1,2,0,3
28/10/2023,Barcelona,Real Madrid,1,2,0,3
28/10/2023,Mallorca,Getafe,0,0,1,1
28/10/2023,Cadiz,Sevilla,2,2,1,1
29/10/2023,Betis,Osasuna,2,1,3,0
29/10/2023,Vallecano,Real Sociedad,2,2,1,1
29/10/2023,Ath. Bilbao,Valencia,2,2,1,1
29/10/2023,Atl. Madrid,Alaves,2,1,3,0
30/10/2023,Granada,Villarreal,2,3,0,3
03/11/2023,Las Palmas,Atl. Madrid,2,1,3,0
04/11/2023,Osasuna,Girona,2,4,0,3
04/11/2023,Betis,Mallorca,2,0,3,0
04/11/2023,Celta,Sevilla,1,1,1,1
04/11/2023,Real Sociedad,Barcelona,0,1,0,3
05/11/2023,Alaves,Almeria,1,0,3,0
