Beverage Category,Beverage,Size,Milk,Calories,Total Fat (g),Trans Fat (g),Saturated Fat (g),Sodium (g),Total Carbohydrates (g),Cholesterol (g),Dietary Fibre (g),Sugars (g),Protein (g),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV),Caffeine (g)
Coffee,Brewed Coffee,Short,,3,0.1,0.0,0.0,0.0,5,0.0,0,0,0.3,0%,0%,0%,0%,0.175
Coffee,Brewed Coffee,Short,,3,0.1,0.0,0.0,0.0,5,0.0,0,0,0.3,0%,0%,0%,0%,0.175
Coffee,Brewed Coffee,Tall,,4,0.1,0.0,0.0,0.0,10,0.0,0,0,0.5,0%,0%,0%,0%,0.26
Coffee,Brewed Coffee,Grande,,5,0.1,0.0,0.0,0.0,10,0.0,0,0,1.0,0%,0%,0%,0%,0.33
Coffee,Brewed Coffee,Venti,,5,0.1,0.0,0.0,0.0,10,0.0,0,0,1.0,0%,0%,2%,0%,0.41
Classic Espresso Drinks,Caffe Latte,Short,Nonfat Milk,70,0.1,0.1,0.0,0.005,75,0.01,0,9,6.0,10%,0%,20%,0%,0.075
Classic Espresso Drinks,Caffe Latte,Short,Nonfat Milk,70,0.1,0.1,0.0,0.005,75,0.01,0,9,6.0,10%,0%,20%,0%,0.075
Classic Espresso Drinks,Caffe Latte,Short,2% Milk,100,3.5,2.0,0.1,0.015,85,0.01,0,9,6.0,10%,0%,20%,0%,0.075
Classic Espresso Drinks,Caffe Latte,Short,Soymilk,70,2.5,0.4,0.0,0.0,65,0.006,1,4,5.0,6%,0%,20%,8%,0.075
Classic Espresso Drinks,Caffe Latte,Tall,Nonfat Milk,100,0.2,0.2,0.0,0.005,120,0.015,0,14,10.0,15%,0%,30%,0%,0.075
Classic Espresso Drinks,Caffe Latte,Tall,Nonfat Milk,100,0.2,0.2,0.0,0.005,120,0.015,0,14,10.0,15%,0%,30%,0%,0.075
Classic Espresso Drinks,Caffe Latte,Tall,2% Milk,150,6.0,3.0,0.2,0.025,135,0.015,0,14,10.0,15%,0%,30%,0%,0.075
