Country,Continent,Population,Life Expectancy,GDP (Millions)
Afghanistan,Asia,42239854,62.879,14502.16
Albania,Europe,2745972,76.833,22977.68
Algeria,Africa,45606480,77.129,239899.49
Andorra,Europe,80088,,3727.67
Angola,Africa,36684202,61.929,84722.96
Antigua and Barbuda,America,94298,79.236,2033.09
Argentina,America,46654581,76.064,640591.41
Armenia,Europe,2777970,73.372,24212.13
Australia,Oceania,26638544,83.2,1723827.22
Austria,Europe,9132383,81.09268292682928,516034.14
Azerbaijan,Europe,10112555,73.488,72356.18
Bahrain,Asia,1485509,79.246,43205.0
Bangladesh,Asia,172954319,73.698,437415.33
Barbados,America,281995,77.706,6393.56
Belarus,Europe,9178298,73.11146341463416,71857.38
Belgium,Europe,11822592,81.69756097560978,632216.58
Belize,America,410825,70.962,3281.5
Benin,Africa,13712828,59.954,19673.28
Bhutan,Asia,787424,72.229,2898.23
Bolivia,America,12388571,64.928,45849.83
Bosnia and Herzegovina,Europe,3210847,75.293,27054.89
Botswana,Africa,2675352,65.913,19395.77
Brazil,America,216422446,73.425,2173665.66
Brunei Darussalam,Asia,452524,74.551,15128.29
Bulgaria,Europe,6430370,74.3609756097561,101584.38
Burkina Faso,Africa,23251485,59.766,20324.62
Burundi,Africa,13238559,61.977,2642.16
Cabo Verde,Africa,598682,74.722,2587.25
Cambodia,Asia,16944826,69.896,31772.76
Cameroon,Africa,28647293,60.958,47945.51
Canada,America,40097761,81.29560975609758,2140085.57
Central African Republic,Africa,5742315,54.477,2555.49
Chad,Africa,18278568,52.997,13149.33
Chile,America,19629590,79.519,335533.33
China,Asia,1410710000,78.587,17794781.99
Colombia,America,52085168,73.659,363540.16
Comoros,Africa,852075,63.68,1352.38
Congo,Africa,6106869,63.053,15321.06
Costa Rica,America,5212173,77.32,86497.94
Cote d'Ivoire,Africa,28873034,58.916,78788.83
Croatia,Europe,3853200,77.57560975609756,82688.84
Cuba,America,11194449,78.155,107351.8
Cyprus,Europe,1260138,81.889,32229.62
Czech Republic,Europe,10873689,79.02926829268293,330858.34
Democratic Republic of the Congo,Africa,102262808,59.743,66383.29
Denmark,Europe,5946952,81.3048780487805,404198.76
Djibouti,Africa,1136455,62.859,4098.53
Dominica,America,73040,72.981,653.99
Dominican Republic,America,11332972,74.17,121444.28
Ecuador,America,18190484,77.894,118844.83
Egypt,Africa,112716598,70.159,395926.08
El Salvador,America,6364943,71.475,34015.62
Equatorial Guinea,Africa,1714671,61.19,12116.92
Eritrea,Africa,3748901,66.604,2065.0
Estonia,Europe,1366188,77.94390243902441,40744.85
Eswatini,Africa,1210822,56.36,4597.86
Ethiopia,Africa,126527060,65.645,163697.93
Fiji,Oceania,936375,68.312,5494.8
Finland,Europe,5584264,81.1878048780488,300187.2
France,Europe,68170228,82.22926829268293,3030904.09
Gabon,Africa,2436566,65.694,20516.13
Georgia,Europe,3760365,71.587,30535.53
Germany,Europe,84482267,80.70560975609757,4456081.02
Ghana,Africa,34121985,63.945,76370.39
Greece,Europe,10361295,80.63658536585366,238206.31
Grenada,America,126183,75.335,1320.33
Guatemala,America,17602431,68.674,102050.47
Guinea,Africa,14190612,58.985,23612.3
Guinea-Bissau,Africa,2150842,59.861,1966.46
Guyana,America,813834,65.989,16786.3
Haiti,America,11724763,63.728,19850.83
Honduras,America,10593798,70.728,34400.51
Hungary,Europe,9589872,76.01707317073172,212388.91
Iceland,Europe,393600,82.17073170731707,31020.03
India,Asia,1428627663,67.744,3549918.92
Indonesia,Asia,277534122,68.25,1371171.15
Iran,Asia,89172767,74.556,401504.51
Iraq,Asia,45504560,71.336,250842.78
Ireland,Europe,5262382,83.05609756097562,545629.45
Israel,Asia,9756700,82.7,509901.5
Italy,Europe,58761146,82.9,2254851.21
Jamaica,America,2825544,70.629,19423.36
Japan,Asia,124516650,83.99634146341464,4212945.16
Jordan,Asia,11337052,74.215,50813.64
Kazakhstan,Asia,19900177,74.44,261421.12
Kenya,Africa,55100586,62.055,107440.58
Kiribati,Oceania,133515,67.661,279.03
Kuwait,Asia,4310108,80.264,161772.22
Kyrgyzstan,Asia,7100800,72.04878048780488,13987.63
Laos,Asia,7633779,68.999,15843.16
Latvia,Europe,1881750,74.58048780487805,43627.08
Lebanon,Asia,5353930,74.416,20992.42
Lesotho,Africa,2330318,53.036,2046.04
Liberia,Africa,5418377,61.1,4332.0
Libya,Africa,6888388,72.151,50491.72
Liechtenstein,Europe,39584,84.31951219512196,7364.65
Lithuania,Europe,2871897,75.79268292682927,77836.4
Luxembourg,Europe,668606,83.04634146341465,85755.01
Madagascar,Africa,30325732,65.23,16031.7
Malawi,Africa,20931751,62.898,14084.34
Malaysia,Asia,34308525,76.26,399648.83
Maldives,Asia,521021,80.839,6600.0
Mali,Africa,23293698,59.417,20904.9
Malta,Europe,553214,82.7,20957.0
Marshall Islands,Oceania,41996,65.146,284.0
Mauritania,Africa,4862989,64.691,10452.58
Mauritius,Africa,1261041,73.51463414634146,14397.13
Mexico,America,128455567,74.832,1788886.82
Micronesia,Oceania,115224,70.925,460.0
Moldova,Europe,2486891,68.621,16539.44
Monaco,Europe,36297,,8784.0
Mongolia,Asia,3447157,72.667,19872.18
Montenegro,Europe,616177,76.1878048780488,7404.54
Morocco,Africa,37840044,74.973,141109.37
Mozambique,Africa,33897354,59.625,20624.6
Myanmar,Asia,54577997,67.256,64815.03
Namibia,Africa,2604172,58.059,12351.02
Nauru,Oceania,12780,64.014,154.13
Nepal,Asia,30896590,70.484,40908.07
Netherlands,Europe,17879488,81.71463414634147,1118124.75
New Zealand,Oceania,5223100,82.76097560975612,253465.7
Nicaragua,America,7046310,74.615,17829.22
Niger,Africa,27202843,62.08,16819.17
Nigeria,Africa,223804632,53.633,362814.95
North Korea,Asia,26160821,73.578,
North Macedonia,Europe,1811980,74.4248780487805,14761.24
Norway,Europe,5519594,82.5609756097561,485513.32
Oman,Asia,4644384,73.935,108192.46
Pakistan,Asia,240485658,66.431,338368.46
Palau,Oceania,18058,69.12926829268292,263.02
Palestine,Asia,5165775,73.444,17396.3
Panama,America,4468087,76.826,83382.4
Papua New Guinea,Oceania,10329931,65.958,30932.5
Paraguay,America,6861524,70.475,42956.26
Peru,America,34352719,73.385,267603.25
Philippines,Asia,117337368,72.187,437146.37
Poland,Europe,36685849,77.3048780487805,811229.1
Portugal,Europe,10525347,81.58048780487806,287080.01
Qatar,Asia,2716391,81.559,235770.4
Romania,Europe,19056116,75.3048780487805,351002.58
Russia,Europe,143826130,72.54560975609758,2021421.48
Rwanda,Africa,14094683,67.129,14097.77
Saint Kitts and Nevis,America,47755,72.027,1077.03
Saint Lucia,America,180251,71.294,2519.93
Saint Vincent and the Grenadines,America,103698,68.972,1065.96
Samoa,Oceania,225681,72.598,934.1
San Marino,Europe,33642,,1855.38
Sao Tome and Principe,Africa,231856,68.794,603.24
Saudi Arabia,Asia,36947025,77.905,1067582.93
Senegal,Africa,17763163,67.913,31013.99
Serbia,Europe,6618026,75.48219512195122,75187.13
